"행정구역별","유형별","항목","단위","2024 년",
"광진구","다세대주택","동(호)수[동(호)수]","동(호)수","1955",
"광진구","다세대주택","면적[천㎡]","천㎡","82",
"광진구","연립주택","동(호)수[동(호)수]","동(호)수","211",
"광진구","연립주택","면적[천㎡]","천㎡","11",
"광진구","아파트","동(호)수[동(호)수]","동(호)수","1971",
"광진구","아파트","면적[천㎡]","천㎡","156",
"동대문구","매입자거주지","동(호)수[동(호)수]","동(호)수","6304",
"동대문구","매입자거주지","면적[천㎡]","천㎡","397",
"동대문구","관할 시군구내","동(호)수[동(호)수]","동(호)수","1707",
"동대문구","관할 시군구내","면적[천㎡]","천㎡","128",
"동대문구","관할 시도내","동(호)수[동(호)수]","동(호)수","3421",
"동대문구","관할 시도내","면적[천㎡]","천㎡","196",
"동대문구","관할 시도외 서울","동(호)수[동(호)수]","동(호)수","0",
"동대문구","관할 시도외 서울","면적[천㎡]","천㎡","0",
"동대문구","관할 시도외 기타","동(호)수[동(호)수]","동(호)수","1176",
"동대문구","관할 시도외 기타","면적[천㎡]","천㎡","73",
"동대문구","거래주체","동(호)수[동(호)수]","동(호)수","6304",
"동대문구","거래주체","면적[천㎡]","천㎡","397",
"동대문구","개인->개인","동(호)수[동(호)수]","동(호)수","4344",
"동대문구","개인->개인","면적[천㎡]","천㎡","291",
"동대문구","개인->법인","동(호)수[동(호)수]","동(호)수","57",
"동대문구","개인->법인","면적[천㎡]","천㎡","10",
"동대문구","개인->기타","동(호)수[동(호)수]","동(호)수","69",
"동대문구","개인->기타","면적[천㎡]","천㎡","4",
"동대문구","법인->개인","동(호)수[동(호)수]","동(호)수","791",
"동대문구","법인->개인","면적[천㎡]","천㎡","46",
"동대문구","법인->법인","동(호)수[동(호)수]","동(호)수","824",
"동대문구","법인->법인","면적[천㎡]","천㎡","34",
"동대문구","법인->기타","동(호)수[동(호)수]","동(호)수","89",
"동대문구","법인->기타","면적[천㎡]","천㎡","3",
"동대문구","기타->개인","동(호)수[동(호)수]","동(호)수","121",
"동대문구","기타->개인","면적[천㎡]","천㎡","7",
"동대문구","기타->법인","동(호)수[동(호)수]","동(호)수","0",
"동대문구","기타->법인","면적[천㎡]","천㎡","0",
"동대문구","기타->기타","동(호)수[동(호)수]","동(호)수","9",
"동대문구","기타->기타","면적[천㎡]","천㎡","2",
"동대문구","거래규모","동(호)수[동(호)수]","동(호)수","6304",
"동대문구","거래규모","면적[천㎡]","천㎡","397",
"동대문구","20㎡이하","동(호)수[동(호)수]","동(호)수","327",
"동대문구","20㎡이하","면적[천㎡]","천㎡","5",
"동대문구","21~40㎡","동(호)수[동(호)수]","동(호)수","1391",
"동대문구","21~40㎡","면적[천㎡]","천㎡","41",
"동대문구","41~60㎡","동(호)수[동(호)수]","동(호)수","2575",
"동대문구","41~60㎡","면적[천㎡]","천㎡","138",
"동대문구","61~85㎡","동(호)수[동(호)수]","동(호)수","1409",
"동대문구","61~85㎡","면적[천㎡]","천㎡","115",
"동대문구","86~100㎡","동(호)수[동(호)수]","동(호)수","66",
"동대문구","86~100㎡","면적[천㎡]","천㎡","6",
"동대문구","101~135㎡","동(호)수[동(호)수]","동(호)수","322",
"동대문구","101~135㎡","면적[천㎡]","천㎡","37",
"동대문구","136~165㎡","동(호)수[동(호)수]","동(호)수","60",
"동대문구","136~165㎡","면적[천㎡]","천㎡","9",
"동대문구","166~198㎡","동(호)수[동(호)수]","동(호)수","42",
"동대문구","166~198㎡","면적[천㎡]","천㎡","8",
"동대문구","198㎡초과","동(호)수[동(호)수]","동(호)수","112",
"동대문구","198㎡초과","면적[천㎡]","천㎡","38",
"동대문구","거래원인","동(호)수[동(호)수]","동(호)수","6304",
"동대문구","거래원인","면적[천㎡]","천㎡","397",
