행정구역별,유형별,항목,단위,2020 년,2021 년,2022 년,2023 년,2024 년
용산구,분양권전매,동(호)수[동(호)수],동(호)수,10,9,5,2,1
용산구,분양권전매,면적[천㎡],천㎡,1,1,0,0,0
용산구,기타,동(호)수[동(호)수],동(호)수,,,,,0
용산구,기타,면적[천㎡],천㎡,,,,,0
용산구,기타소유권이전,동(호)수[동(호)수],동(호)수,2156,781,880,485,387
용산구,기타소유권이전,면적[천㎡],천㎡,90,25,30,23,24
용산구,주택유형,동(호)수[동(호)수],동(호)수,7622,4977,2945,2164,3025
용산구,주택유형,면적[천㎡],천㎡,628,443,206,167,249
용산구,단독주택,동(호)수[동(호)수],동(호)수,884,654,393,286,320
용산구,단독주택,면적[천㎡],천㎡,163,84,51,38,41
용산구,다가구주택,동(호)수[동(호)수],동(호)수,195,207,130,68,109
용산구,다가구주택,면적[천㎡],천㎡,41,44,31,13,23
용산구,다세대주택,동(호)수[동(호)수],동(호)수,2082,2097,1507,842,1140
용산구,다세대주택,면적[천㎡],천㎡,90,80,54,30,43
용산구,연립주택,동(호)수[동(호)수],동(호)수,358,275,135,102,161
용산구,연립주택,면적[천㎡],천㎡,33,27,12,8,17
용산구,아파트,동(호)수[동(호)수],동(호)수,4103,1744,780,866,1295
용산구,아파트,면적[천㎡],천㎡,301,208,57,78,125
성동구,매입자거주지,동(호)수[동(호)수],동(호)수,6644,3909,3081,4005,5650
성동구,매입자거주지,면적[천㎡],천㎡,569,309,205,263,412
성동구,관할 시군구내,동(호)수[동(호)수],동(호)수,2259,1171,1016,1012,1423
성동구,관할 시군구내,면적[천㎡],천㎡,207,101,83,78,118
성동구,관할 시도내,동(호)수[동(호)수],동(호)수,2924,1850,1484,2132,2951
성동구,관할 시도내,면적[천㎡],천㎡,243,144,85,128,202
성동구,관할 시도외 서울,동(호)수[동(호)수],동(호)수,0,0,0,0,0
성동구,관할 시도외 서울,면적[천㎡],천㎡,0,0,0,0,0
성동구,관할 시도외 기타,동(호)수[동(호)수],동(호)수,1461,888,581,861,1276
성동구,관할 시도외 기타,면적[천㎡],천㎡,119,64,37,57,92
성동구,거래주체,동(호)수[동(호)수],동(호)수,6644,3909,3081,4005,5650
성동구,거래주체,면적[천㎡],천㎡,569,309,205,263,412
성동구,개인->개인,동(호)수[동(호)수],동(호)수,5313,2960,1413,2333,4050
성동구,개인->개인,면적[천㎡],천㎡,444,233,98,165,290
성동구,개인->법인,동(호)수[동(호)수],동(호)수,151,121,239,64,59
성동구,개인->법인,면적[천㎡],천㎡,34,27,32,8,18
성동구,개인->기타,동(호)수[동(호)수],동(호)수,145,20,351,48,15
성동구,개인->기타,면적[천㎡],천㎡,14,1,29,3,1
성동구,법인->개인,동(호)수[동(호)수],동(호)수,969,554,342,861,1388
성동구,법인->개인,면적[천㎡],천㎡,68,37,21,55,93
성동구,법인->법인,동(호)수[동(호)수],동(호)수,11,4,48,95,80
성동구,법인->법인,면적[천㎡],천㎡,4,0,4,8,5
성동구,법인->기타,동(호)수[동(호)수],동(호)수,2,123,586,545,1
성동구,법인->기타,면적[천㎡],천㎡,0,3,17,21,0
성동구,기타->개인,동(호)수[동(호)수],동(호)수,43,122,96,58,48
성동구,기타->개인,면적[천㎡],천㎡,4,7,3,3,3
성동구,기타->법인,동(호)수[동(호)수],동(호)수,5,3,3,0,1
성동구,기타->법인,면적[천㎡],천㎡,1,1,0,0,1
성동구,기타->기타,동(호)수[동(호)수],동(호)수,5,2,3,1,8
성동구,기타->기타,면적[천㎡],천㎡,0,0,0,0,1
성동구,거래규모,동(호)수[동(호)수],동(호)수,6644,3909,3081,4005,5650
성동구,거래규모,면적[천㎡],천㎡,569,309,205,263,412
성동구,20㎡이하,동(호)수[동(호)수],동(호)수,172,260,612,349,131
성동구,20㎡이하,면적[천㎡],천㎡,2,3,10,6,2
성동구,21~40㎡,동(호)수[동(호)수],동(호)수,507,497,573,597,826
성동구,21~40㎡,면적[천㎡],천㎡,16,15,18,18,25
성동구,41~60㎡,동(호)수[동(호)수],동(호)수,2563,1461,809,1603,1857
성동구,41~60㎡,면적[천㎡],천㎡,148,83,44,90,106
성동구,61~85㎡,동(호)수[동(호)수],동(호)수,2174,970,719,1069,2219
성동구,61~85㎡,면적[천㎡],천㎡,178,79,58,88,178
성동구,86~100㎡,동(호)수[동(호)수],동(호)수,83,35,25,29,53
성동구,86~100㎡,면적[천㎡],천㎡,8,3,2,3,5
성동구,101~135㎡,동(호)수[동(호)수],동(호)수,618,336,136,222,354
성동구,101~135㎡,면적[천㎡],천㎡,72,39,16,26,41
성동구,136~165㎡,동(호)수[동(호)수],동(호)수,175,130,50,56,86
성동구,136~165㎡,면적[천㎡],천㎡,26,19,7,8,13
성동구,166~198㎡,동(호)수[동(호)수],동(호)수,120,65,50,28,32
성동구,166~198㎡,면적[천㎡],천㎡,22,12,9,5,6
성동구,198㎡초과,동(호)수[동(호)수],동(호)수,232,155,107,52,92
성동구,198㎡초과,면적[천㎡],천㎡,98,54,40,19,37
성동구,거래원인,동(호)수[동(호)수],동(호)수,6644,3909,3081,4005,5650
성동구,거래원인,면적[천㎡],천㎡,569,309,205,263,412
성동구,매매,동(호)수[동(호)수],동(호)수,4759,2613,1195,2083,3504
성동구,매매,면적[천㎡],천㎡,417,225,106,161,281
